2021-12-12_17:12:56,22.90,54.00
2021-12-12_17:13:26,22.90,54.10
2021-12-12_17:13:56,23.00,53.80
2021-12-12_17:14:26,23.00,53.70
2021-12-12_17:14:56,23.00,53.70
2021-12-12_17:15:26,23.00,53.80
2021-12-12_17:15:56,23.00,53.60
2021-12-12_17:16:26,23.00,53.20
2021-12-12_17:16:56,23.00,52.90
2021-12-12_17:17:26,23.00,52.90
2021-12-12_17:17:56,23.10,52.70
2021-12-12_17:18:26,23.00,52.80
2021-12-12_17:18:56,23.00,52.90
2021-12-12_17:19:26,23.00,54.80
2021-12-12_17:19:56,23.00,55.60
2021-12-12_17:20:26,23.00,56.20
2021-12-12_17:20:56,23.00,48.60
2021-12-12_17:21:26,22.90,44.60
2021-12-12_17:21:56,22.80,47.50
2021-12-12_17:22:26,22.70,43.50
2021-12-12_17:22:56,22.60,41.00
2021-12-12_17:23:26,22.50,43.90
2021-12-12_17:23:56,22.40,45.20
2021-12-12_17:24:26,22.30,43.70
2021-12-12_17:24:56,22.30,44.20
2021-12-12_17:25:26,22.30,43.00
2021-12-12_17:25:56,22.20,41.90
2021-12-12_17:26:26,22.20,41.60
2021-12-12_17:26:56,22.20,44.90
2021-12-12_17:27:26,22.20,44.90
2021-12-12_17:27:56,22.20,45.30
2021-12-12_17:28:26,22.20,43.80
2021-12-12_17:28:56,22.20,43.20
2021-12-12_17:29:26,22.10,41.80
2021-12-12_17:29:56,22.00,42.30
2021-12-12_17:30:26,21.70,38.20
2021-12-12_17:30:56,21.50,40.40
2021-12-12_17:31:26,21.40,40.00
2021-12-12_17:31:56,21.30,40.50
2021-12-12_17:32:26,21.30,40.60
2021-12-12_17:32:56,21.30,40.60
2021-12-12_17:33:26,21.30,40.10
2021-12-12_17:33:56,21.30,41.10
2021-12-12_17:34:26,21.30,40.00
2021-12-12_17:34:56,21.30,40.30
2021-12-12_17:35:26,21.30,40.70
2021-12-12_17:35:56,21.40,40.80
2021-12-12_17:36:26,21.40,40.70
2021-12-12_17:36:56,21.40,41.00
2021-12-12_17:37:26,21.40,40.40
2021-12-12_17:37:56,21.50,40.40
2021-12-12_17:38:26,21.50,40.70
2021-12-12_17:38:56,21.50,40.40
2021-12-12_17:39:26,21.50,40.40
2021-12-12_17:39:56,21.50,40.80
2021-12-12_17:40:26,21.60,40.70
2021-12-12_17:40:56,21.60,40.50
2021-12-12_17:41:26,21.60,41.10
2021-12-12_17:41:56,21.60,41.00
2021-12-12_17:42:26,21.60,41.30
2021-12-12_17:42:56,21.70,41.20
2021-12-12_17:43:26,21.70,40.70
2021-12-12_17:43:56,21.70,40.40
2021-12-12_17:44:26,21.70,40.10
2021-12-12_17:44:56,21.70,40.70
2021-12-12_17:45:26,21.80,40.50
2021-12-12_17:45:56,21.80,40.50
2021-12-12_17:46:26,21.80,40.40
2021-12-12_17:46:56,21.80,39.80
2021-12-12_17:47:26,21.80,40.40
2021-12-12_17:47:56,21.80,40.40
2021-12-12_17:48:26,21.80,40.60
2021-12-12_17:48:56,21.80,40.90
2021-12-12_17:49:26,21.80,40.60
2021-12-12_17:49:56,21.80,40.90
2021-12-12_17:50:26,21.80,40.40
2021-12-12_17:50:56,21.80,41.20
2021-12-12_17:51:26,21.80,41.20
2021-12-12_17:51:56,21.80,41.20
2021-12-12_17:52:26,21.90,40.70
2021-12-12_17:52:56,21.80,40.60
2021-12-12_17:53:26,21.90,40.40
2021-12-12_17:53:56,21.90,40.70
2021-12-12_17:54:26,21.90,43.60
2021-12-12_17:54:56,21.90,44.10
2021-12-12_17:55:26,21.90,44.30
2021-12-12_17:55:56,21.90,44.70
2021-12-12_17:56:26,22.00,45.10
2021-12-12_17:56:56,22.00,44.80
2021-12-12_17:57:26,22.00,44.40
2021-12-12_17:57:56,22.10,44.20
2021-12-12_17:58:26,22.10,44.30
